Bouguer	eTh	eU	GT	Kperc	SRTM	SIGLA_UNID	X	Y
-45.1156	13.07	2.81	0.03	4.83	279.58	A3_gamma_cz	542625.0	9273875.0
-45.7577	3.88	1.37	0.0488	1.91	263.04	A3_gamma_cz	548875.0	9272500.0
-45.8758	8.19	2.04	0.1166	3.8	319.06	A3_gamma_cz	542125.0	9275750.0
-45.3703	10.91	2.41	0.0209	4.55	335.87	A3_gamma_cz	541875.0	9274625.0
-40.8717	2.82	1.63	0.3379	0.34	270.55	A3_gamma_cz	554250.0	9275250.0
-42.8297	1.17	0.93	0.634	0.68	293.79	A3_gamma_cz	553125.0	9272125.0
-43.5468	3.4	1.27	0.0548	1.4	314.99	A3_gamma_cz	536375.0	9275375.0
-45.2425	5.68	1.29	0.0491	1.25	296.73	A3_gamma_cz	546375.0	9274750.0
-42.2206	2.08	1.19	0.1573	0.41	268.35	A3_gamma_cz	552625.0	9275750.0
-41.6255	3.95	1.04	0.1862	0.71	281.21	A3_gamma_cz	554000.0	9273000.0
-45.4035	5.34	1.29	0.0745	1.63	294.7	A3_gamma_cz	545125.0	9275000.0
-44.1695	2.52	0.95	0.0849	1.16	285.18	A3_gamma_cz	550375.0	9275000.0
-43.4637	3.27	1.04	0.0958	0.64	273.21	A3_gamma_cz	552000.0	9273875.0
-44.6442	5.54	1.96	0.1178	4.14	312.23	A3_gamma_cz	540000.0	9275000.0
